"Id","Name","ManagingInstitution","Level","Profile","ISCEDClassification(code)","ISCEDClassification(name)","CreationDate","PreparesforTeachingProfession","RelatestoForeignPhilology","ListOfLanguagesforForeignPhilology","JointPrograms","Status","StartDateofPhasingOut","LiquidationDate","Disciplines","CoManagingInstitutionsCoManagingInstitutionUuid","CoManagingInstitutionsCoManagingInstitutionName","CoManagingInstitutionsForeign","CoManagingInstitutionsStartDateofCoManagingStudiesbytheInstitution","CoManagingInstitutionsEndDateofCoManagingStudiesbytheInstitution","TypeofLegalBasis","LegalActName","DateofLegalActPrinting","LaunchName","LaunchForm","LaunchProfessionalTitle","LaunchLanguageofEducation","LaunchForeignPhilologyLanguage","LaunchLaunchDate","LaunchNumberofSemesters","LaunchECTS","LaunchDualStudies","LaunchBridgingStudies","LaunchStatus","LaunchInCooperationwithProfessionalOrganization"
"0f61a7ff-6366-46e4-ab56-3c623d786c11","Aktorstwo","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie; Wydział Teatru Tańca w Bytomiu","jednolite magisterskie","ogólnoakademicki","215","Muzyka i sztuki sceniczne","2008-09-22","Nie","Nie","","Nie","prowadzone","","","sztuki filmowe i teatralne","","","","","","Uchwała senatu uczelni","4/2008","2008-09-22","Aktorstwo","stacjonarne","magister","polski","","2013-10-01","9.0","270.0","Nie","Nie","prowadzone","Nie"
"1524749c-2fa5-45b5-b3fd-830c0ca7e063","Aktorstwo","Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie","jednolite magisterskie","praktyczny","215","Muzyka i sztuki sceniczne","2019-07-24","Nie","Nie","","Nie","prowadzone","","","filozofia, literaturoznawstwo, nauki o komunikacji społecznej i mediach, językoznawstwo, nauki o zarządzaniu i jakości, nauki prawne, sztuki filmowe i teatralne, nauki o kulturze i religii","","","","","","Pozwolenie ministra","DSW.WNN.5014.142.2019.4.AKO","2019-07-24","Aktorstwo","stacjonarne","magister","polski","","2021-10-01","10.0","300.0","Nie","Nie","prowadzone","Nie"
"1dc8d23d-7101-4eab-8c6e-5122e99514eb","Aktorstwo","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie; Wydział Aktorski - Filia we Wrocławiu","jednolite magisterskie","ogólnoakademicki","215","Muzyka i sztuki sceniczne","1979-06-04","Nie","Nie","","Nie","prowadzone","","","sztuki filmowe i teatralne","","","","","","Decyzja ministra","Zarządzenie MKiS Nr 9 Znak: ZSA-IV-0133/7/79","1979-06-04","Aktorstwo","stacjonarne","magister","polski","","2013-10-01","9.0","270.0","Nie","Nie","prowadzone","Nie"
"8b757fcf-1c8c-49b8-80cf-60749a0f76e9","Aktorstwo","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie","jednolite magisterskie","ogólnoakademicki","215","Muzyka i sztuki sceniczne","1946-10-17","Nie","Nie","","Nie","prowadzone","","","sztuki filmowe i teatralne","","","","","","Decyzja ministra","Zarządzenie MKiS - Dz. Urz. MKiS nr 4 poz. 12","1946-10-17","Aktorstwo","stacjonarne","magister","polski","","2013-10-01","9.0","270.0","Nie","Nie","prowadzone","Nie"
"d1ffc279-1ae5-4e76-b7ca-9eb3d83eae92","Aktorstwo [rozporządzenie]","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie; Wydział Lalkarski -Filia we Wrocławiu","jednolite magisterskie","ogólnoakademicki","215","Muzyka i sztuki sceniczne","1972-10-01","Nie","Nie","","Nie","wygaszane","2019-09-30","","sztuki filmowe i teatralne","","","","","","Decyzja ministra","Zarządzenie MKiS nr 64","1972-08-04","Aktorstwo","stacjonarne","magister","polski","","2013-10-01","9.0","270.0","Nie","Nie","wygaszane","Nie"
"9e513547-b43c-4d29-b51d-57f2beaff29b","Aktorstwo teatru lalek","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie; Wydział Lalkarski -Filia we Wrocławiu","jednolite magisterskie","ogólnoakademicki","215","Muzyka i sztuki sceniczne","2019-09-23","Nie","Nie","","Nie","prowadzone","","","sztuki filmowe i teatralne","","","","","","Pozwolenie ministra","22/2019","2019-09-23","Aktorstwo teatru lalek","stacjonarne","magister","polski","","2019-09-23","9.0","300.0","Nie","Nie","prowadzone","Nie"
"c2c23c83-2d02-4379-b315-df48d133f383","Analityka medyczna","Uniwersytet Jagielloński w Krakowie","jednolite magisterskie","praktyczny","914","Technologie związane z diagnostyką i leczeniem","1977-01-01","Nie","Nie","","Nie","prowadzone","","","nauki medyczne","","","","","","Decyzja ministra","34/III/2012","1977-01-01","Analityka medyczna","stacjonarne","magister","polski","","2012-10-01","10.0","270.0","Nie","Nie","prowadzone","Nie"
"0c96939c-e601-4708-b3df-5fdfa7b8b699","Biofizyka","Uniwersytet Jagielloński w Krakowie","jednolite magisterskie","ogólnoakademicki","533","Fizyka","2002-11-14","Nie","Nie","","Nie","prowadzone","","","nauki biologiczne","","","","","","Decyzja ministra","558/2002","2002-11-14","Biofizyka","stacjonarne","magister","polski","","2012-10-01","10.0","300.0","Nie","Nie","prowadzone","Nie"
"0ba1e340-c446-473c-92ad-91bb2a87805b","Farmacja","Uniwersytet Jagielloński w Krakowie","jednolite magisterskie","ogólnoakademicki","916","Farmacja","1957-05-08","Nie","Nie","","Nie","prowadzone","","","nauki farmaceutyczne","","","","","","Decyzja ministra","M.P. 1957 nr 41 poz. 269","1957-05-08","Farmacja","niestacjonarne","magister","polski","","2012-10-01","11.0","330.0","Nie","Nie","prowadzone","Nie"
"0ba1e340-c446-473c-92ad-91bb2a87805b","Farmacja","Uniwersytet Jagielloński w Krakowie","jednolite magisterskie","ogólnoakademicki","916","Farmacja","1957-05-08","Nie","Nie","","Nie","prowadzone","","","nauki farmaceutyczne","","","","","","Decyzja ministra","M.P. 1957 nr 41 poz. 269","1957-05-08","Farmacja","stacjonarne","magister","polski","","2012-10-01","11.0","330.0","Nie","Nie","prowadzone","Nie"
